old_path,new_path,action,reason
".gitkeep","_meta/.gitkeep","迁移并修订","空目录占位迁入治理目录"
"_garden.md","_garden.md","迁移并修订","根导航按新编号重写"
"algorithms/00_Foundations/01_Theory_Derivation.md","01-强化学习与对齐算法/1.1-数学基础与经典强化学习/1.1.1-概率与mdp基础/1.1.1-概率与mdp基础.md","迁移并修订","主文迁入同名首页并校订"
"algorithms/00_Foundations/02_Implementation.py","01-强化学习与对齐算法/1.1-数学基础与经典强化学习/1.1.1-概率与mdp基础/implementation.py","迁移并修订","实现迁入算法目录并标记验证状态"
"algorithms/00_Foundations/03_Theory_Practise_Link.md","01-强化学习与对齐算法/1.1-数学基础与经典强化学习/1.1.1-概率与mdp基础/1.1.1.1-理论与实践.md","迁移并修订","理论实践页按继承编号迁移"
"algorithms/00_Foundations/04_Content.ipynb","01-强化学习与对齐算法/1.1-数学基础与经典强化学习/1.1.1-概率与mdp基础/experiment.ipynb","迁移并修订","Notebook 迁入算法目录并标记验证状态"
"algorithms/00_Foundations/images/probability_space.png","01-强化学习与对齐算法/1.1-数学基础与经典强化学习/1.1.1-概率与mdp基础/images/probability_space.png","附件迁移","附件按文件身份迁移"
"algorithms/00_Foundations/images/random_variable.png","01-强化学习与对齐算法/1.1-数学基础与经典强化学习/1.1.1-概率与mdp基础/images/random_variable.png","附件迁移","附件按文件身份迁移"
"algorithms/01_Bellman_Equation/01_Theory_Derivation.md","01-强化学习与对齐算法/1.1-数学基础与经典强化学习/1.1.2-贝尔曼方程/1.1.2-贝尔曼方程.md","迁移并修订","主文迁入同名首页并校订"
"algorithms/01_Bellman_Equation/02_Implementation.py","01-强化学习与对齐算法/1.1-数学基础与经典强化学习/1.1.2-贝尔曼方程/implementation.py","迁移并修订","实现迁入算法目录并标记验证状态"
"algorithms/01_Bellman_Equation/03_Theory_Practise_Link.md","01-强化学习与对齐算法/1.1-数学基础与经典强化学习/1.1.2-贝尔曼方程/1.1.2.1-理论与实践.md","迁移并修订","理论实践页按继承编号迁移"
"algorithms/01_Bellman_Equation/04_Content.ipynb","01-强化学习与对齐算法/1.1-数学基础与经典强化学习/1.1.2-贝尔曼方程/experiment.ipynb","迁移并修订","Notebook 迁入算法目录并标记验证状态"
"algorithms/01_Bellman_Equation/images/bellman_backup.png","01-强化学习与对齐算法/1.1-数学基础与经典强化学习/1.1.2-贝尔曼方程/images/bellman_backup.png","附件迁移","附件按文件身份迁移"
"algorithms/01_Bellman_Equation/images/mdp_loop.png","01-强化学习与对齐算法/1.1-数学基础与经典强化学习/1.1.2-贝尔曼方程/images/mdp_loop.png","附件迁移","附件按文件身份迁移"
"algorithms/02_Policy_Gradient/01_Theory_Derivation.md","01-强化学习与对齐算法/1.1-数学基础与经典强化学习/1.1.3-策略梯度/1.1.3-策略梯度.md","迁移并修订","主文迁入同名首页并校订"
"algorithms/02_Policy_Gradient/02_Implementation.py","01-强化学习与对齐算法/1.1-数学基础与经典强化学习/1.1.3-策略梯度/implementation.py","迁移并修订","实现迁入算法目录并标记验证状态"
"algorithms/02_Policy_Gradient/images/advantage_baseline.png","01-强化学习与对齐算法/1.1-数学基础与经典强化学习/1.1.3-策略梯度/images/advantage_baseline.png","附件迁移","附件按文件身份迁移"
"algorithms/02_Policy_Gradient/images/policy_gradient_flow.png","01-强化学习与对齐算法/1.1-数学基础与经典强化学习/1.1.3-策略梯度/images/policy_gradient_flow.png","附件迁移","附件按文件身份迁移"
"algorithms/03_Classic_REINFORCE/01_Theory_Derivation.md","01-强化学习与对齐算法/1.1-数学基础与经典强化学习/1.1.4-reinforce/1.1.4-reinforce.md","迁移并修订","主文迁入同名首页并校订"
"algorithms/03_Classic_REINFORCE/02_Implementation.py","01-强化学习与对齐算法/1.1-数学基础与经典强化学习/1.1.4-reinforce/implementation.py","迁移并修订","实现迁入算法目录并标记验证状态"
"algorithms/03_Classic_REINFORCE/03_Theory_Practice_Link.md","01-强化学习与对齐算法/1.1-数学基础与经典强化学习/1.1.4-reinforce/1.1.4.1-理论与实践.md","迁移并修订","理论实践页按继承编号迁移"
"algorithms/03_Classic_REINFORCE/04_Content.ipynb","01-强化学习与对齐算法/1.1-数学基础与经典强化学习/1.1.4-reinforce/experiment.ipynb","迁移并修订","Notebook 迁入算法目录并标记验证状态"
"algorithms/03_Classic_REINFORCE/images/reinforce_flow.png","01-强化学习与对齐算法/1.1-数学基础与经典强化学习/1.1.4-reinforce/images/reinforce_flow.png","附件迁移","附件按文件身份迁移"
"algorithms/04_TRPO/01_Theory_Derivation.md","01-强化学习与对齐算法/1.1-数学基础与经典强化学习/1.1.6-trpo/1.1.6-trpo.md","迁移并修订","主文迁入同名首页并校订"
"algorithms/04_TRPO/02_Implementation.py","01-强化学习与对齐算法/1.1-数学基础与经典强化学习/1.1.6-trpo/implementation.py","迁移并修订","实现迁入算法目录并标记验证状态"
"algorithms/04_TRPO/03_Theory_Practice_Link.md","01-强化学习与对齐算法/1.1-数学基础与经典强化学习/1.1.6-trpo/1.1.6.1-理论与实践.md","迁移并修订","理论实践页按继承编号迁移"
"algorithms/04_TRPO/04_Content.ipynb","01-强化学习与对齐算法/1.1-数学基础与经典强化学习/1.1.6-trpo/experiment.ipynb","迁移并修订","Notebook 迁入算法目录并标记验证状态"
"algorithms/04_TRPO/images/trust_region_visualization.png","01-强化学习与对齐算法/1.1-数学基础与经典强化学习/1.1.6-trpo/images/trust_region_visualization.png","附件迁移","附件按文件身份迁移"
"algorithms/04_TRPO/papers/TRPO_1502.05477.pdf","01-强化学习与对齐算法/1.1-数学基础与经典强化学习/1.1.6-trpo/papers/TRPO_1502.05477.pdf","附件迁移","附件按文件身份迁移"
"algorithms/05_PPO/01_Theory_Derivation.md","01-强化学习与对齐算法/1.1-数学基础与经典强化学习/1.1.7-ppo/1.1.7-ppo.md","迁移并修订","主文迁入同名首页并校订"
"algorithms/05_PPO/02_Implementation.py","01-强化学习与对齐算法/1.1-数学基础与经典强化学习/1.1.7-ppo/implementation.py","迁移并修订","实现迁入算法目录并标记验证状态"
"algorithms/05_PPO/03_Theory_Practice_Link.md","01-强化学习与对齐算法/1.1-数学基础与经典强化学习/1.1.7-ppo/1.1.7.1-理论与实践.md","迁移并修订","理论实践页按继承编号迁移"
"algorithms/05_PPO/04_Content.ipynb","01-强化学习与对齐算法/1.1-数学基础与经典强化学习/1.1.7-ppo/experiment.ipynb","迁移并修订","Notebook 迁入算法目录并标记验证状态"
"algorithms/05_PPO/images/clipping_objective.png","01-强化学习与对齐算法/1.1-数学基础与经典强化学习/1.1.7-ppo/images/clipping_objective.png","附件迁移","附件按文件身份迁移"
"algorithms/05_PPO/images/trust_region.png","01-强化学习与对齐算法/1.1-数学基础与经典强化学习/1.1.7-ppo/images/trust_region.png","附件迁移","附件按文件身份迁移"
"algorithms/06_Actor_Critic/01_Theory_Derivation.md","01-强化学习与对齐算法/1.1-数学基础与经典强化学习/1.1.5-actor-critic/1.1.5-actor-critic.md","迁移并修订","主文迁入同名首页并校订"
"algorithms/06_Actor_Critic/02_Implementation.py","01-强化学习与对齐算法/1.1-数学基础与经典强化学习/1.1.5-actor-critic/implementation.py","迁移并修订","实现迁入算法目录并标记验证状态"
"algorithms/06_Actor_Critic/03_Theory_Practice_Link.md","01-强化学习与对齐算法/1.1-数学基础与经典强化学习/1.1.5-actor-critic/1.1.5.1-理论与实践.md","迁移并修订","理论实践页按继承编号迁移"
"algorithms/06_Actor_Critic/04_Content.ipynb","01-强化学习与对齐算法/1.1-数学基础与经典强化学习/1.1.5-actor-critic/experiment.ipynb","迁移并修订","Notebook 迁入算法目录并标记验证状态"
"algorithms/07_DPO/01_Theory_Derivation.md","01-强化学习与对齐算法/1.2-偏好优化与rlhf/1.2.2-dpo/1.2.2-dpo.md","迁移并修订","主文迁入同名首页并校订"
"algorithms/07_DPO/02_Implementation.py","01-强化学习与对齐算法/1.2-偏好优化与rlhf/1.2.2-dpo/implementation.py","迁移并修订","实现迁入算法目录并标记验证状态"
"algorithms/07_DPO/03_Theory_Practice_Link.md","01-强化学习与对齐算法/1.2-偏好优化与rlhf/1.2.2-dpo/1.2.2.1-理论与实践.md","迁移并修订","理论实践页按继承编号迁移"
"algorithms/07_DPO/04_Content.ipynb","01-强化学习与对齐算法/1.2-偏好优化与rlhf/1.2.2-dpo/experiment.ipynb","迁移并修订","Notebook 迁入算法目录并标记验证状态"
"algorithms/07_DPO/images/dpo_vs_rlhf.png","01-强化学习与对齐算法/1.2-偏好优化与rlhf/1.2.2-dpo/images/dpo_vs_rlhf.png","附件迁移","附件按文件身份迁移"
